,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases
year,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
week,21,28,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
name,,,,,,,,,,,,,,,,,,,,,
Abatiá,0.0,0.0,0.0,798.0,1109.0,955.0,1498.0,778.0,537.0,1120.0,1442.0,1199.0,1997.0,1860.0,1641.0,2275.0,3000.0,2165.0,3071.0,2765.0,3017.0
Adrianópolis,0.0,0.0,0.0,2772.0,3393.0,2307.0,2436.0,1310.0,2938.0,4913.0,3551.0,3775.0,6884.0,6097.0,6162.0,6214.0,5236.0,6341.0,6438.0,6562.0,6766.0
Agudos do Sul,0.0,0.0,0.0,996.0,1270.0,776.0,1330.0,1340.0,557.0,1519.0,2070.0,2325.0,2819.0,2041.0,2104.0,2561.0,2645.0,2725.0,2846.0,2884.0,2444.0
Almirante Tamandaré,0.0,0.0,0.0,25644.0,30939.0,31692.0,27724.0,23678.0,24845.0,32283.0,35183.0,37386.0,46992.0,42015.0,50520.0,51974.0,53147.0,54087.0,47015.0,48063.0,57960.0
Altamira do Paraná,0.0,0.0,0.0,78.0,144.0,112.0,128.0,95.0,62.0,260.0,270.0,212.0,592.0,388.0,97.0,498.0,406.0,629.0,797.0,778.0,859.0
Alto Paraná,0.0,0.0,0.0,1322.0,2176.0,2360.0,2060.0,1710.0,896.0,1912.0,3134.0,2252.0,4076.0,1181.0,3754.0,3849.0,4580.0,4071.0,3562.0,3788.0,5636.0
Alto Paraíso,0.0,0.0,0.0,249.0,276.0,174.0,124.0,284.0,76.0,370.0,439.0,241.0,901.0,278.0,456.0,913.0,459.0,922.0,780.0,950.0,1002.0
Alto Piquiri,0.0,0.0,0.0,824.0,1741.0,914.0,967.0,659.0,1014.0,2075.0,2189.0,1943.0,2879.0,1688.0,1327.0,2733.0,2317.0,2929.0,2134.0,3487.0,3167.0
Altônia,0.0,0.0,0.0,2269.0,2865.0,2065.0,2886.0,1878.0,2670.0,3571.0,4609.0,4729.0,5615.0,4851.0,4879.0,4947.0,5861.0,5082.0,5133.0,6151.0,5442.0
Alvorada do Sul,0.0,0.0,0.0,1063.0,1709.0,912.0,1262.0,987.0,718.0,2343.0,2579.0,2443.0,4022.0,3596.0,4314.0,3738.0,3763.0,4404.0,3784.0,3843.0,4015.0
Amaporã,0.0,0.0,0.0,198.0,264.0,140.0,224.0,0.0,198.0,429.0,591.0,526.0,1008.0,479.0,354.0,631.0,670.0,454.0,1178.0,1549.0,1628.0
Ampére,0.0,0.0,0.0,1825.0,2958.0,2076.0,2712.0,1697.0,1272.0,4045.0,4278.0,3768.0,5662.0,3339.0,4289.0,4474.0,6436.0,6637.0,5959.0,6331.0,7063.0
Anahy,0.0,0.0,0.0,300.0,393.0,237.0,399.0,81.0,98.0,220.0,423.0,359.0,1040.0,873.0,226.0,483.0,756.0,1116.0,1881.0,1603.0,1633.0
Andirá,0.0,0.0,0.0,3579.0,4094.0,2682.0,4766.0,3014.0,2189.0,6690.0,6903.0,8400.0,8756.0,7788.0,8027.0,9615.0,7102.0,10330.0,9234.0,11403.0,10254.0
Antonina,0.0,0.0,0.0,5519.0,8413.0,8606.0,7287.0,7380.0,6064.0,9270.0,7897.0,11460.0,11850.0,8761.0,10795.0,11471.0,12051.0,14526.0,12700.0,12917.0,10944.0
Antônio Olinto,0.0,0.0,0.0,414.0,441.0,597.0,600.0,150.0,154.0,1026.0,748.0,1063.0,1409.0,1019.0,1309.0,1895.0,1993.0,1850.0,1930.0,1676.0,1806.0
Apucarana,0.0,0.0,2663.0,18267.0,20936.0,25642.0,26255.0,26909.0,27984.0,29157.0,30167.0,31354.0,32493.0,33974.0,35868.0,39231.0,43097.0,46382.0,49482.0,52109.0,54485.0
Arapongas,0.0,0.0,0.0,34681.0,35944.0,36963.0,38045.0,39190.0,47751.0,50083.0,44794.0,55177.0,57818.0,59568.0,61059.0,62636.0,64425.0,66380.0,68982.0,71959.0,75067.0
Arapoti,0.0,0.0,0.0,6256.0,6839.0,6312.0,6895.0,7372.0,7985.0,10165.0,8814.0,10926.0,13278.0,11673.0,11951.0,14452.0,15049.0,15487.0,13565.0,16304.0,16983.0
Arapuã,0.0,0.0,0.0,206.0,418.0,105.0,318.0,108.0,111.0,252.0,405.0,287.0,916.0,474.0,162.0,662.0,505.0,877.0,890.0,542.0,733.0
Araruna,0.0,0.0,0.0,2221.0,3569.0,1870.0,2547.0,1933.0,1328.0,3399.0,3587.0,3042.0,5610.0,4143.0,5182.0,5600.0,6842.0,7028.0,6251.0,6603.0,5992.0
Araucária,0.0,0.0,0.0,80543.0,83779.0,73880.0,62752.0,63743.0,93129.0,82687.0,87521.0,107755.0,115659.0,104164.0,125922.0,128953.0,132255.0,134961.0,117803.0,121184.0,146424.0
Ariranha do Ivaí,0.0,0.0,0.0,129.0,291.0,158.0,243.0,81.0,0.0,339.0,270.0,378.0,617.0,555.0,235.0,633.0,512.0,516.0,774.0,645.0,400.0
Assaí,0.0,0.0,0.0,2973.0,3112.0,3238.0,2741.0,3355.0,2905.0,3780.0,4964.0,4814.0,6349.0,5864.0,7081.0,7417.0,7664.0,7794.0,6805.0,7012.0,7183.0
Assis Chateaubriand,0.0,0.0,0.0,9636.0,10165.0,10548.0,9092.0,9526.0,12140.0,15229.0,13857.0,14818.0,18477.0,16535.0,16985.0,20223.0,20564.0,20922.0,15116.0,18674.0,23428.0
Astorga,0.0,0.0,0.0,5709.0,7109.0,6132.0,6311.0,6535.0,4167.0,8904.0,9616.0,10429.0,13480.0,10275.0,10715.0,15707.0,16277.0,16741.0,14797.0,12774.0,18595.0
Atalaia,0.0,0.0,0.0,574.0,591.0,618.0,469.0,159.0,537.0,839.0,699.0,501.0,1665.0,1154.0,906.0,630.0,1617.0,325.0,1976.0,1998.0,1689.0
Balsa Nova,0.0,0.0,0.0,1681.0,4096.0,3601.0,3102.0,3193.0,3433.0,4463.0,4930.0,5262.0,6761.0,6127.0,6310.0,6491.0,7790.0,7909.0,6997.0,7265.0,7616.0
Bandeirantes,0.0,0.0,0.0,9805.0,11844.0,8879.0,9054.0,9138.0,7563.0,11724.0,12111.0,12351.0,15016.0,13335.0,16285.0,17249.0,17972.0,18745.0,16721.0,20932.0,16127.0
Barbosa Ferraz,0.0,0.0,0.0,1149.0,2536.0,902.0,2856.0,1468.0,1517.0,3082.0,2624.0,2703.0,3908.0,4040.0,2973.0,3617.0,4453.0,4041.0,4457.0,6041.0,5641.0
Barra do Jacaré,0.0,0.0,0.0,307.0,351.0,198.0,436.0,229.0,239.0,490.0,642.0,276.0,966.0,414.0,279.0,1020.0,922.0,1095.0,785.0,794.0,804.0
Barracão,0.0,0.0,0.0,1132.0,2360.0,446.0,1444.0,0.0,1232.0,3252.0,3514.0,3757.0,5594.0,3293.0,4242.0,6270.0,4666.0,6723.0,5898.0,6092.0,6401.0
Bela Vista da Caroba,0.0,0.0,0.0,201.0,426.0,74.0,242.0,85.0,0.0,621.0,637.0,668.0,834.0,433.0,456.0,620.0,626.0,474.0,795.0,954.0,796.0
Bela Vista do Paraíso,0.0,0.0,0.0,2499.0,3444.0,3790.0,3346.0,2260.0,3431.0,4857.0,5486.0,8490.0,9469.0,8584.0,10379.0,10648.0,10873.0,11056.0,9655.0,8165.0,8328.0
Bituruna,0.0,0.0,0.0,582.0,950.0,354.0,593.0,819.0,214.0,729.0,1407.0,2149.0,3171.0,1871.0,3430.0,3572.0,2616.0,3269.0,2856.0,3031.0,3473.0
Boa Esperança,0.0,0.0,0.0,474.0,423.0,154.0,660.0,679.0,180.0,549.0,583.0,824.0,1535.0,911.0,466.0,1189.0,1195.0,1201.0,1219.0,749.0,1925.0
Boa Esperança do Iguaçu,0.0,0.0,0.0,372.0,283.0,96.0,291.0,0.0,194.0,301.0,309.0,218.0,567.0,116.0,120.0,240.0,362.0,252.0,544.0,834.0,570.0
Boa Ventura de São Roque,0.0,0.0,0.0,550.0,311.0,356.0,396.0,0.0,207.0,860.0,661.0,922.0,1754.0,781.0,799.0,1995.0,898.0,2294.0,2109.0,2189.0,2295.0
Boa Vista da Aparecida,0.0,0.0,0.0,1316.0,1716.0,351.0,1464.0,1165.0,2084.0,2622.0,2700.0,2825.0,3541.0,2077.0,2654.0,2800.0,2968.0,3199.0,3402.0,4307.0,3678.0
Bocaiúva do Sul,0.0,0.0,0.0,1893.0,3815.0,3238.0,2611.0,1981.0,1353.0,4159.0,2188.0,3921.0,5852.0,4354.0,6419.0,5851.0,7021.0,6414.0,7854.0,8735.0,11040.0
Bom Jesus do Sul,0.0,0.0,0.0,335.0,234.0,131.0,271.0,137.0,0.0,674.0,543.0,585.0,1238.0,628.0,216.0,664.0,893.0,688.0,1187.0,1021.0,672.0
Bom Sucesso,0.0,0.0,0.0,872.0,1251.0,289.0,1702.0,696.0,1874.0,2340.0,2064.0,1758.0,3239.0,2488.0,2136.0,1659.0,3518.0,3665.0,3127.0,3878.0,4032.0
Bom Sucesso do Sul,0.0,0.0,0.0,615.0,764.0,266.0,322.0,344.0,788.0,631.0,660.0,947.0,1510.0,1024.0,788.0,811.0,1708.0,1498.0,1535.0,1944.0,1733.0
Borrazópolis,0.0,0.0,0.0,1753.0,1790.0,1114.0,1908.0,1556.0,410.0,2128.0,2609.0,2668.0,3158.0,2297.0,2339.0,3322.0,3343.0,2918.0,3520.0,3175.0,2834.0
Braganey,0.0,0.0,0.0,362.0,688.0,156.0,850.0,523.0,213.0,1124.0,1201.0,769.0,1638.0,840.0,560.0,280.0,1735.0,1787.0,1815.0,1879.0,1626.0
Brasilândia do Sul,0.0,0.0,0.0,347.0,487.0,126.0,395.0,0.0,0.0,791.0,362.0,1237.0,1673.0,514.0,570.0,899.0,1530.0,1550.0,1285.0,1640.0,2052.0
Cafeara,0.0,0.0,0.0,342.0,508.0,281.0,573.0,290.0,0.0,783.0,497.0,556.0,1388.0,607.0,207.0,1275.0,651.0,666.0,1344.0,899.0,1162.0
Cafelândia,0.0,0.0,0.0,3767.0,4789.0,2926.0,6007.0,3049.0,4223.0,5383.0,5634.0,8283.0,8630.0,8817.0,6396.0,6500.0,7981.0,8302.0,7231.0,9230.0,8063.0
Cafezal do Sul,0.0,0.0,0.0,367.0,517.0,540.0,340.0,471.0,247.0,654.0,563.0,608.0,1169.0,716.0,370.0,776.0,1028.0,1116.0,940.0,766.0,1408.0
Califórnia,0.0,0.0,0.0,1210.0,2479.0,1693.0,1778.0,1842.0,1983.0,2661.0,3348.0,2925.0,4357.0,3958.0,4165.0,4992.0,4467.0,5388.0,5582.0,4972.0,6101.0
Cambará,0.0,0.0,0.0,3313.0,4299.0,3010.0,3159.0,3291.0,1863.0,5941.0,6584.0,8647.0,9737.0,7511.0,9805.0,12051.0,10595.0,12611.0,11011.0,11382.0,9800.0
Cambira,0.0,0.0,277.0,1499.0,1550.0,1251.0,1932.0,1008.0,354.0,1544.0,1634.0,2156.0,3308.0,2504.0,3219.0,4024.0,3687.0,4479.0,3986.0,4143.0,4330.0
Cambé,0.0,0.0,0.0,32610.0,34293.0,36108.0,44239.0,39188.0,48400.0,50625.0,52601.0,53823.0,55350.0,57103.0,58462.0,59609.0,60737.0,62335.0,63645.0,55210.0,65638.0
Campina Grande do Sul,0.0,0.0,0.0,12012.0,21627.0,19030.0,19530.0,16452.0,20149.0,20641.0,21214.0,21748.0,26445.0,27046.0,27333.0,27528.0,28011.0,24521.0,25727.0,26792.0,31772.0
Campina da Lagoa,0.0,0.0,0.0,1575.0,1730.0,1214.0,1637.0,371.0,412.0,2258.0,1976.0,2205.0,4313.0,3206.0,3299.0,3501.0,5643.0,6175.0,5712.0,6423.0,7200.0
Campina do Simão,0.0,0.0,0.0,90.0,140.0,35.0,187.0,38.0,38.0,219.0,167.0,405.0,890.0,724.0,207.0,1074.0,1139.0,1417.0,1444.0,1250.0,1615.0
Campo Bonito,0.0,0.0,0.0,288.0,520.0,110.0,227.0,366.0,394.0,891.0,1039.0,184.0,1264.0,1103.0,929.0,724.0,1225.0,1489.0,1276.0,1317.0,1632.0
Campo Largo,0.0,0.0,0.0,56089.0,58072.0,51156.0,43685.0,53864.0,56150.0,58914.0,73608.0,67175.0,83657.0,87687.0,91291.0,94534.0,97054.0,99019.0,86660.0,88643.0,90961.0
Campo Magro,0.0,0.0,1395.0,5667.0,10605.0,9638.0,8210.0,11910.0,10819.0,11520.0,12501.0,13171.0,16270.0,11898.0,16899.0,17065.0,17357.0,15126.0,15445.0,15831.0,16326.0
Campo Mourão,0.0,0.0,4153.0,29806.0,26810.0,28043.0,29203.0,25142.0,37375.0,33917.0,42560.0,45236.0,47574.0,41792.0,49787.0,51127.0,52810.0,54263.0,56210.0,50775.0,54457.0
Campo do Tenente,0.0,0.0,0.0,980.0,1817.0,854.0,1496.0,1509.0,1588.0,1959.0,1678.0,1344.0,2356.0,1693.0,1360.0,2046.0,1709.0,2055.0,1725.0,1734.0,1399.0
Candói,0.0,0.0,0.0,2026.0,2191.0,2336.0,1466.0,1507.0,1601.0,2258.0,4393.0,2680.0,5153.0,4572.0,5467.0,4783.0,5737.0,5890.0,4337.0,5477.0,5756.0
Cantagalo,0.0,0.0,0.0,1209.0,2614.0,1396.0,2884.0,1007.0,1750.0,4046.0,3745.0,5529.0,4976.0,4302.0,1740.0,6193.0,5333.0,5358.0,5390.0,4537.0,5517.0
Capanema,0.0,0.0,0.0,5137.0,5413.0,4504.0,4586.0,4715.0,1249.0,7916.0,7232.0,9363.0,11489.0,8431.0,10370.0,12276.0,12364.0,12428.0,8950.0,11033.0,11781.0
Capitão Leônidas Marques,0.0,0.0,0.0,2909.0,3694.0,1911.0,2606.0,2668.0,0.0,3641.0,3134.0,4235.0,6348.0,3747.0,2935.0,6152.0,5270.0,6518.0,5605.0,7095.0,7486.0
Carambeí,0.0,0.0,0.0,7622.0,8012.0,5560.0,5835.0,6020.0,4757.0,9895.0,7067.0,11449.0,14554.0,8698.0,13588.0,9558.0,12334.0,17754.0,15715.0,16361.0,17103.0
Carlópolis,0.0,0.0,0.0,1150.0,1910.0,1026.0,1748.0,1795.0,1484.0,2319.0,1190.0,2025.0,2962.0,1728.0,1763.0,3222.0,2866.0,3537.0,3210.0,3285.0,3330.0
Cascavel,0.0,0.0,19397.0,140655.0,146652.0,130607.0,134915.0,138745.0,169654.0,152805.0,188104.0,196566.0,205345.0,212537.0,218392.0,222276.0,224952.0,227241.0,230304.0,234373.0,204432.0
Castro,0.0,0.0,0.0,24776.0,30765.0,27712.0,23831.0,24410.0,25535.0,37082.0,33065.0,34220.0,42256.0,31395.0,38932.0,47393.0,49844.0,52068.0,46977.0,50092.0,62592.0
Catanduvas,0.0,0.0,0.0,1049.0,1345.0,823.0,878.0,1227.0,1012.0,2033.0,2259.0,2013.0,3309.0,2822.0,2961.0,3713.0,3814.0,3266.0,3405.0,3521.0,4491.0
Centenário do Sul,0.0,0.0,0.0,1610.0,2034.0,1408.0,1513.0,1200.0,2218.0,2822.0,2527.0,3321.0,3721.0,3857.0,3978.0,3418.0,3601.0,5116.0,4464.0,4548.0,3897.0
Cerro Azul,0.0,0.0,0.0,2316.0,2924.0,3119.0,2348.0,1983.0,1459.0,3973.0,4269.0,4438.0,6525.0,4749.0,6786.0,5898.0,5982.0,6047.0,6167.0,6312.0,7713.0
Chopinzinho,0.0,0.0,0.0,6712.0,8371.0,7226.0,7494.0,7646.0,7928.0,8291.0,8705.0,12750.0,13197.0,7660.0,13641.0,13863.0,13974.0,14084.0,12182.0,12347.0,12580.0
Cianorte,0.0,0.0,0.0,21557.0,22259.0,22825.0,23093.0,19381.0,28734.0,26395.0,33244.0,29784.0,36743.0,32538.0,39026.0,39845.0,40743.0,41670.0,36628.0,37648.0,39099.0
Cidade Gaúcha,0.0,0.0,0.0,3122.0,3793.0,2579.0,2022.0,1375.0,1414.0,4346.0,3722.0,3833.0,5595.0,4059.0,4111.0,5035.0,6062.0,5586.0,6243.0,5826.0,8328.0
Clevelândia,0.0,0.0,0.0,2085.0,4300.0,2963.0,3064.0,3961.0,0.0,6051.0,7075.0,9130.0,10131.0,6048.0,7761.0,7901.0,11301.0,9811.0,8233.0,11768.0,10178.0
Colombo,0.0,0.0,0.0,47381.0,57623.0,53147.0,54761.0,47070.0,58482.0,71807.0,65709.0,75192.0,95134.0,100472.0,103576.0,107511.0,111884.0,114674.0,101487.0,123772.0,129178.0
Colorado,0.0,0.0,0.0,2938.0,4709.0,4195.0,4494.0,4814.0,4167.0,6783.0,7451.0,8511.0,10656.0,9524.0,8227.0,10116.0,10215.0,12085.0,10779.0,11189.0,11770.0
Congonhinhas,0.0,0.0,0.0,433.0,490.0,1080.0,731.0,259.0,828.0,1737.0,1520.0,2312.0,2584.0,1992.0,2194.0,2876.0,3284.0,3667.0,3395.0,4405.0,4633.0
Conselheiro Mairinck,0.0,0.0,0.0,625.0,509.0,185.0,570.0,385.0,390.0,789.0,649.0,949.0,1606.0,1228.0,1336.0,1393.0,2190.0,1536.0,1618.0,2275.0,2571.0
Contenda,0.0,0.0,0.0,3158.0,5703.0,4171.0,4302.0,4426.0,1840.0,4831.0,5229.0,6742.0,8625.0,7746.0,8019.0,9863.0,10367.0,9108.0,9374.0,9921.0,10450.0
Corbélia,0.0,0.0,0.0,3101.0,4014.0,4438.0,3888.0,6319.0,2161.0,5645.0,5911.0,6003.0,8541.0,7397.0,6210.0,8735.0,7519.0,7559.0,6346.0,7731.0,7907.0
Cornélio Procópio,0.0,0.0,0.0,13251.0,12153.0,15217.0,15874.0,11935.0,19172.0,18300.0,23524.0,21479.0,26533.0,27397.0,27942.0,28616.0,29675.0,30504.0,27416.0,29079.0,31126.0
Coronel Domingos Soares,0.0,0.0,0.0,1653.0,2127.0,861.0,1302.0,873.0,1326.0,1916.0,2892.0,2659.0,4386.0,3080.0,4966.0,5395.0,3725.0,6885.0,5143.0,7543.0,6588.0
Coronel Vivida,0.0,0.0,0.0,5459.0,6925.0,6039.0,6453.0,7153.0,9918.0,12911.0,12078.0,12960.0,16192.0,11905.0,16951.0,17229.0,17488.0,17691.0,15372.0,15610.0,18864.0
Corumbataí do Sul,0.0,0.0,0.0,376.0,789.0,138.0,723.0,149.0,150.0,791.0,1022.0,700.0,1096.0,368.0,836.0,1118.0,1377.0,1635.0,1641.0,1461.0,1030.0
Cruz Machado,0.0,0.0,0.0,608.0,644.0,229.0,1165.0,718.0,0.0,1996.0,1821.0,2157.0,2959.0,2168.0,2881.0,3006.0,4327.0,3841.0,3311.0,3413.0,3655.0
Cruzeiro do Iguaçu,0.0,0.0,0.0,937.0,951.0,0.0,727.0,0.0,733.0,492.0,1235.0,1009.0,1791.0,523.0,532.0,1064.0,1064.0,1339.0,1614.0,1081.0,1104.0
Cruzeiro do Oeste,0.0,0.0,0.0,6148.0,6518.0,6714.0,5525.0,8466.0,4363.0,9049.0,9261.0,9471.0,11301.0,8214.0,9981.0,10174.0,8744.0,10825.0,11141.0,11761.0,12453.0
Cruzeiro do Sul,0.0,0.0,0.0,249.0,256.0,206.0,295.0,0.0,140.0,755.0,697.0,1076.0,1624.0,721.0,773.0,1298.0,1315.0,813.0,1386.0,1427.0,1740.0
Cruzmaltina,0.0,0.0,0.0,237.0,251.0,94.0,310.0,213.0,358.0,661.0,560.0,435.0,1083.0,807.0,344.0,887.0,1110.0,746.0,1156.0,783.0,1238.0
Curitiba,0.0,0.0,0.0,535697.0,538726.0,464044.0,465899.0,580956.0,594802.0,648558.0,906014.0,929306.0,957043.0,976739.0,989699.0,1001283.0,1014538.0,1024708.0,1038331.0,1059887.0,1083977.0
Curiúva,0.0,0.0,0.0,1996.0,2204.0,1959.0,2236.0,3071.0,1959.0,3489.0,3667.0,4537.0,5621.0,6087.0,6305.0,6463.0,6693.0,6933.0,6030.0,5198.0,6649.0
Cândido de Abreu,0.0,0.0,0.0,936.0,1053.0,1117.0,964.0,1043.0,1461.0,2079.0,2020.0,2670.0,3446.0,2070.0,3381.0,4133.0,4325.0,4648.0,3505.0,4347.0,4553.0
Céu Azul,0.0,0.0,0.0,2127.0,2790.0,2008.0,2094.0,2651.0,1690.0,3517.0,3843.0,3309.0,4952.0,3552.0,2147.0,3704.0,4712.0,4883.0,4389.0,5578.0,5785.0
Diamante D'Oeste,0.0,0.0,0.0,929.0,1187.0,1230.0,1047.0,560.0,1207.0,1537.0,1572.0,1588.0,2239.0,1288.0,1312.0,2355.0,2085.0,1801.0,1858.0,1938.0,2104.0
