,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases
Rebouças,0.0,0.0,0.0,847.0,1575.0,459.0,739.0,1042.0,277.0,1783.0,2095.0,2247.0,2975.0,2492.0,2160.0,3987.0,3689.0,4150.0,5007.0,4911.0,6120.0
Renascença,0.0,0.0,0.0,1046.0,1354.0,851.0,1462.0,903.0,1628.0,1436.0,1974.0,2121.0,3196.0,1435.0,1016.0,2604.0,3269.0,3375.0,2840.0,3519.0,3079.0
Reserva,0.0,0.0,0.0,2687.0,4089.0,633.0,2121.0,3181.0,1741.0,6760.0,5136.0,6600.0,8340.0,7555.0,9291.0,8642.0,11128.0,12027.0,11158.0,12022.0,12757.0
Reserva do Iguaçu,0.0,0.0,0.0,682.0,896.0,398.0,658.0,227.0,232.0,788.0,552.0,1268.0,2150.0,1545.0,1618.0,2523.0,1702.0,2157.0,2642.0,2282.0,2916.0
Ribeirão Claro,0.0,0.0,0.0,1417.0,2239.0,778.0,1599.0,1227.0,1286.0,2351.0,1026.0,2187.0,4102.0,2487.0,2680.0,3643.0,3882.0,4886.0,5155.0,5319.0,5505.0
Ribeirão do Pinhal,0.0,0.0,0.0,1785.0,2360.0,2032.0,2653.0,2191.0,1157.0,3611.0,3819.0,3267.0,4688.0,4230.0,5317.0,4842.0,5954.0,3560.0,5721.0,5919.0,7127.0
Rio Azul,0.0,0.0,0.0,733.0,1212.0,850.0,867.0,868.0,444.0,1407.0,1585.0,1505.0,2416.0,2628.0,1577.0,2474.0,2181.0,1852.0,2680.0,4241.0,4682.0
Rio Bom,0.0,0.0,0.0,315.0,420.0,212.0,432.0,110.0,229.0,853.0,505.0,408.0,862.0,445.0,597.0,760.0,767.0,1085.0,944.0,973.0,993.0
Rio Bonito do Iguaçu,0.0,0.0,0.0,1236.0,1665.0,1026.0,1043.0,707.0,1119.0,1938.0,2055.0,2518.0,3057.0,2270.0,2829.0,3352.0,2911.0,2997.0,3173.0,4083.0,4612.0
Rio Branco do Ivaí,0.0,0.0,0.0,272.0,215.0,0.0,406.0,0.0,131.0,585.0,539.0,1161.0,1438.0,835.0,852.0,874.0,1361.0,1158.0,1421.0,969.0,1281.0
Rio Branco do Sul,0.0,0.0,0.0,13519.0,16179.0,14072.0,11848.0,11958.0,12320.0,15688.0,13826.0,21396.0,24166.0,18223.0,27002.0,28184.0,29098.0,29808.0,26234.0,26946.0,27641.0
Rio Negro,0.0,0.0,0.0,3831.0,5052.0,5365.0,6738.0,5692.0,4595.0,8168.0,7076.0,8271.0,8299.0,5930.0,8308.0,8315.0,8319.0,8362.0,7192.0,7207.0,6018.0
Rolândia,0.0,0.0,0.0,18866.0,20078.0,24816.0,22155.0,19388.0,20514.0,21448.0,28017.0,29756.0,36258.0,37262.0,38553.0,40123.0,41042.0,41541.0,36046.0,36619.0,43692.0
Roncador,0.0,0.0,0.0,951.0,1056.0,453.0,1181.0,984.0,536.0,1369.0,1687.0,1497.0,2243.0,1688.0,1416.0,2189.0,2285.0,2825.0,2545.0,3252.0,3203.0
Rondon,0.0,0.0,0.0,1635.0,2649.0,1405.0,2016.0,2110.0,581.0,2371.0,3014.0,3070.0,3804.0,2548.0,3222.0,4571.0,4072.0,4260.0,4445.0,3844.0,5787.0
Rosário do Ivaí,0.0,0.0,0.0,259.0,580.0,103.0,236.0,251.0,0.0,771.0,1011.0,725.0,1470.0,1202.0,289.0,1541.0,1250.0,2217.0,1982.0,1412.0,1489.0
Sabáudia,0.0,0.0,0.0,1889.0,3015.0,2118.0,2181.0,1669.0,1170.0,2381.0,3715.0,2541.0,3902.0,2660.0,3470.0,4296.0,3722.0,3076.0,4873.0,4354.0,6495.0
Salgado Filho,0.0,0.0,0.0,200.0,500.0,200.0,308.0,108.0,112.0,474.0,287.0,491.0,1422.0,652.0,710.0,1565.0,1143.0,644.0,1368.0,1456.0,1874.0
Salto do Itararé,0.0,0.0,0.0,501.0,887.0,555.0,749.0,955.0,386.0,791.0,1278.0,1326.0,1502.0,1406.0,1307.0,2953.0,2836.0,3272.0,3691.0,2777.0,3703.0
Salto do Lontra,0.0,0.0,0.0,2548.0,3386.0,1439.0,3001.0,1533.0,3939.0,4189.0,5223.0,4441.0,6513.0,4788.0,2998.0,5152.0,7479.0,6604.0,6819.0,7020.0,6018.0
Santa Amélia,0.0,0.0,0.0,320.0,395.0,117.0,524.0,531.0,807.0,1057.0,1112.0,686.0,1627.0,1178.0,497.0,756.0,1043.0,786.0,1316.0,1320.0,1346.0
Santa Cecília do Pavão,0.0,0.0,0.0,506.0,548.0,299.0,620.0,321.0,170.0,786.0,1100.0,1203.0,1639.0,1472.0,1208.0,1876.0,977.0,1354.0,2051.0,1729.0,1790.0
Santa Cruz de Monte Castelo,0.0,0.0,0.0,623.0,803.0,661.0,714.0,609.0,0.0,1300.0,1379.0,1444.0,2121.0,947.0,1308.0,2309.0,2007.0,1050.0,2286.0,2165.0,2965.0
Santa Fé,0.0,0.0,0.0,1254.0,1655.0,1813.0,1895.0,388.0,449.0,2989.0,1738.0,1943.0,4933.0,2908.0,3743.0,3047.0,3880.0,3911.0,3942.0,4013.0,4103.0
Santa Helena,0.0,0.0,0.0,7721.0,7873.0,8058.0,8235.0,6721.0,8740.0,11038.0,9662.0,10140.0,14709.0,12920.0,11044.0,13629.0,16085.0,16289.0,14215.0,12224.0,15678.0
Santa Inês,0.0,0.0,0.0,153.0,204.0,164.0,168.0,58.0,65.0,207.0,169.0,323.0,581.0,366.0,250.0,125.0,515.0,679.0,685.0,689.0,698.0
Santa Isabel do Ivaí,0.0,0.0,0.0,1193.0,2174.0,937.0,3026.0,1053.0,560.0,3388.0,3422.0,2306.0,4171.0,1810.0,2431.0,2480.0,3195.0,3298.0,4085.0,3502.0,3624.0
Santa Izabel do Oeste,0.0,0.0,0.0,1473.0,1514.0,1574.0,2027.0,840.0,1436.0,2675.0,3610.0,3181.0,4600.0,3370.0,3517.0,5132.0,4588.0,5503.0,4075.0,5139.0,4456.0
Santa Lúcia,0.0,0.0,0.0,407.0,426.0,0.0,464.0,351.0,119.0,744.0,408.0,772.0,782.0,628.0,510.0,535.0,899.0,732.0,1104.0,1144.0,1242.0
Santa Maria do Oeste,0.0,0.0,0.0,515.0,728.0,763.0,612.0,225.0,243.0,1564.0,1505.0,2088.0,2935.0,1807.0,961.0,3416.0,2524.0,3073.0,3110.0,3200.0,3386.0
Santa Mariana,0.0,0.0,0.0,1756.0,2287.0,2347.0,1917.0,1467.0,2131.0,2856.0,2997.0,3764.0,4608.0,4734.0,4870.0,5039.0,4488.0,4694.0,4826.0,5009.0,4342.0
Santa Mônica,0.0,0.0,0.0,150.0,409.0,84.0,255.0,90.0,194.0,407.0,338.0,135.0,1017.0,296.0,152.0,608.0,1070.0,613.0,636.0,909.0,989.0
Santa Tereza do Oeste,0.0,0.0,0.0,2134.0,2200.0,2391.0,2540.0,2242.0,2183.0,4645.0,5025.0,5189.0,6236.0,5434.0,2735.0,6414.0,5505.0,5549.0,6572.0,6682.0,5918.0
Santa Terezinha de Itaipu,0.0,0.0,0.0,3878.0,8111.0,8574.0,9007.0,7755.0,8135.0,10259.0,10812.0,13023.0,13408.0,11716.0,10213.0,13131.0,15678.0,11368.0,13908.0,16508.0,14491.0
Santana do Itararé,0.0,0.0,0.0,430.0,814.0,1003.0,512.0,184.0,195.0,914.0,766.0,1397.0,2240.0,1428.0,1590.0,2778.0,1960.0,2204.0,3085.0,3913.0,2655.0
Santo Antônio da Platina,0.0,0.0,0.0,6804.0,7227.0,6307.0,7824.0,9357.0,8360.0,8852.0,9776.0,10887.0,14896.0,13998.0,17307.0,13170.0,16654.0,21030.0,19409.0,20672.0,22232.0
Santo Antônio do Caiuá,0.0,0.0,0.0,266.0,204.0,158.0,329.0,83.0,89.0,377.0,554.0,473.0,718.0,369.0,405.0,553.0,727.0,453.0,793.0,800.0,972.0
Santo Antônio do Paraíso,0.0,0.0,0.0,130.0,68.0,130.0,96.0,0.0,57.0,129.0,234.0,428.0,577.0,322.0,120.0,508.0,402.0,452.0,648.0,1016.0,1342.0
Santo Antônio do Sudoeste,0.0,0.0,0.0,1734.0,3022.0,1928.0,2698.0,2789.0,1469.0,4856.0,4376.0,5672.0,7257.0,5441.0,6680.0,8060.0,7104.0,8662.0,7756.0,8238.0,8715.0
Santo Inácio,0.0,0.0,0.0,710.0,979.0,1301.0,1157.0,638.0,0.0,1185.0,2505.0,1290.0,2208.0,1808.0,2327.0,1410.0,2842.0,2854.0,1907.0,1442.0,1955.0
Sapopema,0.0,0.0,0.0,632.0,619.0,704.0,791.0,320.0,1510.0,2161.0,943.0,1990.0,3127.0,3232.0,4048.0,3626.0,3705.0,4389.0,3815.0,3210.0,3289.0
Sarandi,0.0,0.0,0.0,14769.0,23410.0,24865.0,21926.0,22829.0,33405.0,24772.0,32308.0,34069.0,42700.0,31816.0,45801.0,46884.0,47887.0,49328.0,43350.0,44936.0,47439.0
Saudade do Iguaçu,0.0,0.0,0.0,965.0,664.0,697.0,1443.0,363.0,770.0,2053.0,1311.0,1817.0,2379.0,1981.0,2051.0,3210.0,2733.0,2789.0,3521.0,3083.0,3180.0
Sengés,0.0,0.0,0.0,2384.0,3815.0,2597.0,2752.0,2892.0,2421.0,4340.0,4911.0,6197.0,7811.0,4685.0,6059.0,8603.0,8717.0,8892.0,7735.0,7986.0,8395.0
Serranópolis do Iguaçu,0.0,0.0,0.0,948.0,1649.0,676.0,1418.0,1071.0,371.0,1505.0,2371.0,2436.0,2924.0,1269.0,2161.0,1313.0,2637.0,1767.0,2780.0,2942.0,3140.0
Sertaneja,0.0,0.0,0.0,918.0,1178.0,486.0,1017.0,528.0,1138.0,2096.0,1563.0,1008.0,2100.0,1846.0,2733.0,1609.0,2460.0,2493.0,2183.0,2747.0,3397.0
Sertanópolis,0.0,0.0,0.0,3150.0,4407.0,4845.0,5139.0,5273.0,7645.0,5745.0,6156.0,8054.0,10287.0,10859.0,11480.0,12015.0,12491.0,12865.0,9435.0,7832.0,12154.0
Siqueira Campos,0.0,0.0,0.0,2252.0,2790.0,1985.0,2064.0,2171.0,2894.0,3665.0,3267.0,4036.0,5175.0,4272.0,8169.0,10756.0,8523.0,13911.0,13132.0,13755.0,14416.0
Sulina,0.0,0.0,0.0,210.0,639.0,213.0,218.0,231.0,240.0,1000.0,1314.0,1077.0,2015.0,904.0,613.0,1536.0,1849.0,1573.0,989.0,1696.0,1391.0
São Carlos do Ivaí,0.0,0.0,0.0,741.0,1130.0,781.0,1217.0,329.0,365.0,2138.0,2371.0,1490.0,2606.0,1593.0,548.0,3064.0,4581.0,4096.0,2823.0,2926.0,3079.0
São Jerônimo da Serra,0.0,0.0,0.0,889.0,789.0,714.0,1182.0,1998.0,1572.0,1655.0,2123.0,1490.0,2371.0,2426.0,2531.0,2663.0,3299.0,2959.0,3054.0,2606.0,3161.0
São Jorge d'Oeste,0.0,0.0,0.0,2418.0,2502.0,515.0,2630.0,545.0,1189.0,2518.0,1339.0,2857.0,5305.0,3896.0,3956.0,4830.0,4035.0,4044.0,4929.0,5071.0,5373.0
São Jorge do Ivaí,0.0,0.0,0.0,1221.0,1610.0,1322.0,1685.0,342.0,1108.0,1885.0,1171.0,1650.0,2227.0,1853.0,1934.0,1958.0,2952.0,2962.0,2477.0,2495.0,3066.0
São Jorge do Patrocínio,0.0,0.0,0.0,600.0,820.0,351.0,784.0,836.0,698.0,1299.0,1152.0,941.0,2001.0,1795.0,1557.0,1807.0,2559.0,1964.0,3629.0,4596.0,3977.0
São José da Boa Vista,0.0,0.0,0.0,817.0,1256.0,429.0,443.0,907.0,805.0,1757.0,2073.0,2327.0,2979.0,2329.0,1903.0,1945.0,3468.0,3010.0,3042.0,2572.0,2715.0
São José das Palmeiras,0.0,0.0,0.0,453.0,466.0,474.0,158.0,328.0,0.0,537.0,973.0,1076.0,1140.0,936.0,967.0,997.0,1539.0,1298.0,786.0,1337.0,1681.0
São José dos Pinhais,0.0,0.0,11992.0,73723.0,88335.0,77517.0,79479.0,67642.0,84163.0,102498.0,91410.0,111642.0,116578.0,121084.0,124351.0,127950.0,131561.0,134641.0,118474.0,123130.0,153971.0
São João,0.0,0.0,0.0,2296.0,2913.0,601.0,2448.0,1873.0,1329.0,4296.0,3855.0,4970.0,6102.0,4476.0,6380.0,4711.0,5805.0,5921.0,5054.0,5210.0,6514.0
São João do Caiuá,0.0,0.0,0.0,439.0,357.0,669.0,559.0,306.0,325.0,677.0,542.0,755.0,1387.0,651.0,934.0,1043.0,1180.0,1270.0,1388.0,1594.0,2552.0
São João do Ivaí,0.0,0.0,0.0,1139.0,2016.0,2099.0,1759.0,1834.0,1430.0,2973.0,3113.0,3196.0,3882.0,2834.0,2902.0,4256.0,3838.0,4592.0,4052.0,4305.0,4630.0
São João do Triunfo,0.0,0.0,0.0,372.0,416.0,368.0,401.0,326.0,357.0,732.0,629.0,789.0,1020.0,670.0,740.0,1369.0,1034.0,1336.0,1389.0,1445.0,1619.0
São Manoel do Paraná,0.0,0.0,0.0,163.0,111.0,60.0,132.0,73.0,152.0,229.0,235.0,161.0,417.0,348.0,120.0,264.0,434.0,310.0,319.0,835.0,502.0
São Mateus do Sul,0.0,0.0,0.0,5738.0,7156.0,5423.0,5744.0,6001.0,4966.0,6380.0,6682.0,8395.0,10125.0,7404.0,9070.0,11001.0,11595.0,12706.0,11642.0,10015.0,10965.0
São Miguel do Iguaçu,0.0,0.0,0.0,10604.0,10871.0,11220.0,11487.0,11674.0,10053.0,10422.0,12957.0,15390.0,15601.0,11288.0,13709.0,16319.0,14240.0,14528.0,14921.0,15504.0,13666.0
São Pedro do Iguaçu,0.0,0.0,0.0,710.0,1244.0,519.0,1096.0,853.0,893.0,1583.0,1414.0,2256.0,2786.0,2043.0,2519.0,3071.0,1795.0,1822.0,2792.0,2376.0,2966.0
São Pedro do Ivaí,0.0,0.0,0.0,1078.0,1389.0,602.0,1261.0,646.0,1672.0,1396.0,1970.0,2095.0,3091.0,1825.0,2472.0,3210.0,2838.0,4543.0,4231.0,3897.0,4954.0
São Pedro do Paraná,0.0,0.0,0.0,182.0,488.0,215.0,454.0,342.0,116.0,590.0,242.0,248.0,755.0,126.0,252.0,634.0,656.0,684.0,714.0,756.0,775.0
São Sebastião da Amoreira,0.0,0.0,0.0,1403.0,1522.0,960.0,1329.0,1025.0,1524.0,2465.0,1853.0,2534.0,3925.0,3613.0,3807.0,3927.0,4646.0,4006.0,4058.0,4138.0,4275.0
São Tomé,0.0,0.0,0.0,1369.0,927.0,234.0,705.0,949.0,1015.0,1355.0,1155.0,1188.0,1843.0,1570.0,1627.0,1334.0,2025.0,2068.0,2148.0,2191.0,2267.0
Tamarana,0.0,0.0,0.0,2323.0,2889.0,1978.0,2543.0,2590.0,3147.0,2660.0,2739.0,2265.0,4098.0,3678.0,3163.0,3308.0,4817.0,4239.0,4346.0,3738.0,4732.0
Tamboara,0.0,0.0,0.0,469.0,648.0,613.0,675.0,370.0,415.0,929.0,1251.0,784.0,1942.0,1143.0,1184.0,1819.0,932.0,1607.0,1650.0,2075.0,1865.0
Tapejara,0.0,0.0,0.0,2254.0,2865.0,1486.0,2150.0,1132.0,1417.0,3041.0,3560.0,3851.0,7273.0,5379.0,5464.0,3317.0,6674.0,6738.0,4555.0,6096.0,6604.0
Tapira,0.0,0.0,0.0,495.0,835.0,337.0,676.0,855.0,0.0,1077.0,774.0,1225.0,1524.0,675.0,677.0,921.0,1465.0,1541.0,1422.0,1341.0,1926.0
Teixeira Soares,0.0,0.0,0.0,730.0,899.0,905.0,1269.0,783.0,268.0,1671.0,1790.0,1907.0,2365.0,1412.0,2571.0,2650.0,2331.0,2830.0,2147.0,2766.0,2860.0
Telêmaco Borba,0.0,0.0,0.0,36664.0,38565.0,41344.0,43348.0,52743.0,55514.0,58114.0,51567.0,53545.0,65730.0,68341.0,71030.0,73634.0,75844.0,78562.0,69638.0,72696.0,88548.0
Terra Boa,0.0,0.0,0.0,3340.0,4364.0,2325.0,4064.0,1669.0,1731.0,5497.0,6185.0,6990.0,8991.0,6785.0,7240.0,9387.0,11664.0,12540.0,11006.0,11247.0,11639.0
Terra Rica,0.0,0.0,0.0,599.0,1095.0,1391.0,1480.0,783.0,582.0,1520.0,1945.0,1018.0,2503.0,1456.0,1837.0,2245.0,2715.0,1969.0,2056.0,2235.0,2932.0
Terra Roxa,0.0,0.0,0.0,1375.0,2964.0,2685.0,2994.0,2091.0,3094.0,5362.0,6031.0,6506.0,8177.0,7317.0,8872.0,7774.0,9185.0,7939.0,9326.0,8086.0,8263.0
Tibagi,0.0,0.0,0.0,2731.0,3672.0,2357.0,2492.0,4261.0,2788.0,6117.0,6688.0,5853.0,9364.0,8855.0,10797.0,11797.0,12683.0,13338.0,13968.0,12328.0,12680.0
Tijucas do Sul,0.0,0.0,0.0,2476.0,4549.0,2008.0,3417.0,2103.0,3280.0,5479.0,5003.0,6669.0,8444.0,7499.0,7701.0,9275.0,8289.0,8554.0,8784.0,9054.0,9345.0
Toledo,15.0,0.0,0.0,56244.0,69965.0,72769.0,62634.0,78053.0,97342.0,89141.0,94545.0,115801.0,120371.0,105522.0,124980.0,126543.0,127978.0,129284.0,130999.0,133540.0,116726.0
Tomazina,0.0,0.0,0.0,617.0,646.0,417.0,442.0,607.0,309.0,824.0,1032.0,1097.0,1373.0,1220.0,1487.0,1119.0,1372.0,1419.0,1457.0,1253.0,1632.0
Três Barras do Paraná,0.0,0.0,0.0,1637.0,2133.0,1374.0,1929.0,1480.0,1682.0,3174.0,3638.0,3959.0,6220.0,3641.0,3775.0,6969.0,6135.0,7353.0,6364.0,5330.0,6458.0
Tunas do Paraná,0.0,0.0,0.0,924.0,1860.0,957.0,1304.0,336.0,372.0,1136.0,1195.0,1634.0,2955.0,2130.0,2620.0,2873.0,2973.0,2532.0,2584.0,3160.0,3740.0
Tuneiras do Oeste,0.0,0.0,0.0,1155.0,1454.0,881.0,1483.0,610.0,327.0,2018.0,2106.0,1105.0,2695.0,1182.0,1226.0,2535.0,2635.0,2282.0,1867.0,2471.0,2745.0
Tupãssi,0.0,0.0,0.0,1357.0,1771.0,1099.0,1118.0,768.0,1319.0,2683.0,3019.0,3225.0,4676.0,2717.0,1375.0,4192.0,2824.0,2859.0,3600.0,4351.0,4403.0
Turvo,0.0,0.0,0.0,2239.0,3794.0,4345.0,3852.0,2353.0,4150.0,4495.0,5593.0,4790.0,5944.0,4101.0,5422.0,8061.0,7358.0,9119.0,9764.0,8842.0,9320.0
Ubiratã,0.0,0.0,0.0,1377.0,2374.0,3136.0,2724.0,2213.0,2303.0,3691.0,4247.0,3774.0,5603.0,4882.0,4159.0,5912.0,5988.0,6371.0,5848.0,6181.0,6570.0
Umuarama,0.0,0.0,0.0,47608.0,49385.0,43513.0,44751.0,46115.0,55942.0,49680.0,52009.0,54357.0,66195.0,68405.0,69807.0,71371.0,72939.0,74587.0,77018.0,68797.0,84775.0
Uniflor,0.0,0.0,0.0,132.0,175.0,115.0,164.0,41.0,82.0,186.0,106.0,170.0,359.0,185.0,67.0,281.0,297.0,306.0,385.0,385.0,399.0
União da Vitória,0.0,0.0,0.0,7955.0,10008.0,10447.0,10945.0,9622.0,8321.0,13762.0,14866.0,15858.0,19956.0,15371.0,22476.0,24194.0,26419.0,27917.0,25833.0,28217.0,35699.0
Uraí,0.0,0.0,0.0,1612.0,1639.0,1749.0,2305.0,1207.0,1253.0,2559.0,2182.0,2694.0,3215.0,3271.0,3347.0,2925.0,3495.0,3081.0,2628.0,3988.0,3467.0
Ventania,0.0,0.0,0.0,1770.0,1088.0,1103.0,1890.0,1159.0,433.0,2242.0,2837.0,1946.0,3476.0,2550.0,2636.0,3975.0,4356.0,4715.0,4261.0,3869.0,5932.0
Vera Cruz do Oeste,0.0,0.0,0.0,1705.0,2165.0,1351.0,1846.0,935.0,982.0,2513.0,2567.0,2748.0,3343.0,3415.0,1163.0,3525.0,4167.0,3654.0,3164.0,4127.0,4338.0
Verê,0.0,0.0,0.0,2136.0,2188.0,0.0,1832.0,956.0,1675.0,1774.0,2062.0,4408.0,4626.0,4016.0,4069.0,3323.0,5959.0,4356.0,5309.0,3639.0,4670.0
Virmond,0.0,0.0,0.0,304.0,717.0,256.0,391.0,136.0,151.0,789.0,827.0,694.0,1072.0,1103.0,556.0,1148.0,1164.0,975.0,993.0,1413.0,1218.0
Vitorino,0.0,0.0,0.0,794.0,1333.0,1099.0,855.0,309.0,666.0,2309.0,2171.0,2381.0,3575.0,2101.0,2707.0,3333.0,3398.0,3442.0,2925.0,3043.0,3319.0
Wenceslau Braz,0.0,0.0,0.0,2579.0,3305.0,2344.0,3086.0,3339.0,4366.0,4904.0,4356.0,5743.0,7338.0,5431.0,6876.0,8788.0,9398.0,9746.0,8497.0,8870.0,7752.0
Xambrê,0.0,0.0,0.0,640.0,852.0,355.0,724.0,372.0,390.0,798.0,1044.0,1080.0,1335.0,906.0,688.0,1181.0,967.0,1261.0,1572.0,1376.0,1488.0
Ângulo,0.0,0.0,0.0,502.0,649.0,404.0,546.0,146.0,165.0,690.0,369.0,668.0,1174.0,745.0,762.0,508.0,1290.0,1058.0,1064.0,825.0,1407.0
